seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
20,2026-09-02T12:13:19.240,135,2,2,fail,,,,base nav to path_tag_id=135 failed,020_tag135_attempt2_fail.yaml
21,2026-09-02T12:13:19.316,136,2,1,fail,,,,base nav to path_tag_id=136 failed,021_tag136_attempt1_fail.yaml
22,2026-09-02T12:13:19.366,136,2,2,fail,,,,base nav to path_tag_id=136 failed,022_tag136_attempt2_fail.yaml
23,2026-09-02T12:13:19.413,137,2,1,fail,,,,base nav to path_tag_id=137 failed,023_tag137_attempt1_fail.yaml
24,2026-09-02T12:13:19.470,137,2,2,fail,,,,base nav to path_tag_id=137 failed,024_tag137_attempt2_fail.yaml
25,2026-09-02T12:13:19.522,138,3,1,fail,,,,base nav to path_tag_id=138 failed,025_tag138_attempt1_fail.yaml
26,2026-09-02T12:13:19.564,138,3,2,fail,,,,base nav to path_tag_id=138 failed,026_tag138_attempt2_fail.yaml
27,2026-09-02T12:13:19.618,139,3,1,fail,,,,base nav to path_tag_id=139 failed,027_tag139_attempt1_fail.yaml
28,2026-09-02T12:13:19.683,139,3,2,fail,,,,base nav to path_tag_id=139 failed,028_tag139_attempt2_fail.yaml
29,2026-09-02T12:13:19.743,140,3,1,fail,,,,base nav to path_tag_id=140 failed,029_tag140_attempt1_fail.yaml
30,2026-09-02T12:13:19.805,140,3,2,fail,,,,base nav to path_tag_id=140 failed,030_tag140_attempt2_fail.yaml
31,2026-09-02T12:13:19.868,141,3,1,fail,,,,base nav to path_tag_id=141 failed,031_tag141_attempt1_fail.yaml
32,2026-09-02T12:13:19.929,141,3,2,fail,,,,base nav to path_tag_id=141 failed,032_tag141_attempt2_fail.yaml
33,2026-09-02T12:13:19.984,142,4,1,fail,,,,base nav to path_tag_id=142 failed,033_tag142_attempt1_fail.yaml
34,2026-09-02T12:13:20.041,142,4,2,fail,,,,base nav to path_tag_id=142 failed,034_tag142_attempt2_fail.yaml
35,2026-09-02T12:13:20.120,143,4,1,fail,,,,base nav to path_tag_id=143 failed,035_tag143_attempt1_fail.yaml
36,2026-09-02T12:13:20.190,143,4,2,fail,,,,base nav to path_tag_id=143 failed,036_tag143_attempt2_fail.yaml
37,2026-09-02T12:13:20.287,144,4,1,fail,,,,base nav to path_tag_id=144 failed,037_tag144_attempt1_fail.yaml
38,2026-09-02T12:13:20.349,144,4,2,fail,,,,base nav to path_tag_id=144 failed,038_tag144_attempt2_fail.yaml
39,2026-09-02T12:13:20.420,145,5,1,fail,,,,base nav to path_tag_id=145 failed,039_tag145_attempt1_fail.yaml
40,2026-09-02T12:13:20.491,145,5,2,fail,,,,base nav to path_tag_id=145 failed,040_tag145_attempt2_fail.yaml
41,2026-09-02T12:13:20.580,146,5,1,fail,,,,base nav to path_tag_id=146 failed,041_tag146_attempt1_fail.yaml
42,2026-09-02T12:13:20.656,146,5,2,fail,,,,base nav to path_tag_id=146 failed,042_tag146_attempt2_fail.yaml
43,2026-09-02T12:13:20.744,147,5,1,fail,,,,base nav to path_tag_id=147 failed,043_tag147_attempt1_fail.yaml
44,2026-09-02T12:13:20.825,147,5,2,fail,,,,base nav to path_tag_id=147 failed,044_tag147_attempt2_fail.yaml
45,2026-09-02T12:13:20.912,148,5,1,fail,,,,base nav to path_tag_id=148 failed,045_tag148_attempt1_fail.yaml
46,2026-09-02T12:13:20.992,148,5,2,fail,,,,base nav to path_tag_id=148 failed,046_tag148_attempt2_fail.yaml
47,2026-09-02T12:13:21.077,149,5,1,fail,,,,base nav to path_tag_id=149 failed,047_tag149_attempt1_fail.yaml
48,2026-09-02T12:13:21.157,149,5,2,fail,,,,base nav to path_tag_id=149 failed,048_tag149_attempt2_fail.yaml
49,2026-09-02T12:13:21.239,150,5,1,fail,,,,base nav to path_tag_id=150 failed,049_tag150_attempt1_fail.yaml
50,2026-09-02T12:13:21.337,150,5,2,fail,,,,base nav to path_tag_id=150 failed,050_tag150_attempt2_fail.yaml
